Date,Size,Type,Mode,UID,GID,Meta,File Name
Tue 12 16 2003 00:00:00,25,.a..,-/rrwxrwxrwx,0,0,1238,/$OrphanFiles/_ile10.txt (deleted)
Tue 12 16 2003 21:03:52,25,m...,-/rrwxrwxrwx,0,0,1238,/$OrphanFiles/_ile10.txt (deleted)
Tue 12 16 2003 21:07:19,25,...b,-/rrwxrwxrwx,0,0,1238,/$OrphanFiles/_ile10.txt (deleted)
Tue 12 16 2003 00:00:00,25,.a..,-/rrwxrwxrwx,0,0,1236,/$OrphanFiles/_ile8.txt (deleted)
Tue 12 16 2003 21:03:52,25,m...,-/rrwxrwxrwx,0,0,1236,/$OrphanFiles/_ile8.txt (deleted)
Tue 12 16 2003 21:07:32,25,...b,-/rrwxrwxrwx,0,0,1236,/$OrphanFiles/_ile8.txt (deleted)
Tue 12 16 2003 00:00:00,25,.a..,-/rrwxrwxrwx,0,0,1237,/$OrphanFiles/_ile9.txt (deleted)
Tue 12 16 2003 21:03:52,25,m...,-/rrwxrwxrwx,0,0,1237,/$OrphanFiles/_ile9.txt (deleted)
Tue 12 16 2003 21:07:31,25,...b,-/rrwxrwxrwx,0,0,1237,/$OrphanFiles/_ile9.txt (deleted)
Tue 12 16 2003 00:00:00,4066,.a..,-/rrwxrwxrwx,0,0,1235,/$OrphanFiles/_MALLP~1.JPG (deleted)
Tue 12 16 2003 21:09:46,4066,m...,-/rrwxrwxrwx,0,0,1235,/$OrphanFiles/_MALLP~1.JPG (deleted)
Tue 12 16 2003 21:10:17,4066,...b,-/rrwxrwxrwx,0,0,1235,/$OrphanFiles/_MALLP~1.JPG (deleted)
Tue 12 16 2003 00:00:00,0,.a..,r/rrwxrwxrwx,0,0,35,/__sdkft__.out (deleted)
Tue 12 16 2003 21:30:43,0,...b,r/rrwxrwxrwx,0,0,35,/__sdkft__.out (deleted)
Tue 12 16 2003 21:30:44,0,m...,r/rrwxrwxrwx,0,0,35,/__sdkft__.out (deleted)
Tue 12 16 2003 00:00:00,0,.a..,r/rrwxrwxrwx,0,0,33,/_do (deleted)
Tue 12 16 2003 21:30:42,0,...b,r/rrwxrwxrwx,0,0,33,/_do (deleted)
